Timestamp,Data
2025-04-16T22:33:02.751497,"+UUDF:6C1DEBA3FFAC,-70,-21,-16,0,15,""6C1DEBA09949"","""",2142278,9375"
2025-04-16T22:33:02.797707,"+UUDF:6C1DEBA3FFAC,-70,-12,-11,0,13,""6C1DEBA09949"","""",2142328,9376"
2025-04-16T22:33:02.846243,"+UUDF:6C1DEBA3FFAC,-67,-22,6,0,8,""6C1DEBA09949"","""",2142378,9377"
2025-04-16T22:33:02.901666,"+UUDF:6C1DEBA3FFAC,-64,-19,3,0,22,""6C1DEBA09949"","""",2142428,9378"
2025-04-16T22:33:02.996359,"+UUDF:6C1DEBA3FFAC,-58,-10,-18,0,35,""6C1DEBA09949"","""",2142528,9380"
2025-04-16T22:33:03.051454,"+UUDF:6C1DEBA3FFAC,-64,-14,7,0,21,""6C1DEBA09949"","""",2142578,9381"
2025-04-16T22:33:03.105977,"+UUDF:6C1DEBA3FFAC,-62,-13,2,0,4,""6C1DEBA09949"","""",2142628,9382"
2025-04-16T22:33:03.151183,"+UUDF:6C1DEBA3FFAC,-64,-24,-1,0,6,""6C1DEBA09949"","""",2142678,9383"
2025-04-16T22:33:03.196893,"+UUDF:6C1DEBA3FFAC,-60,-33,-6,0,30,""6C1DEBA09949"","""",2142728,9384"
2025-04-16T22:33:03.245600,"+UUDF:6C1DEBA3FFAC,-64,-30,10,0,24,""6C1DEBA09949"","""",2142778,9385"
2025-04-16T22:33:03.294387,"+UUDF:6C1DEBA3FFAC,-58,-34,-10,0,28,""6C1DEBA09949"","""",2142828,9386"
2025-04-16T22:33:03.351539,"+UUDF:6C1DEBA3FFAC,-82,-20,-15,0,17,""6C1DEBA09949"","""",2142878,9387"
2025-04-16T22:33:03.397585,"+UUDF:6C1DEBA3FFAC,-60,-9,-20,0,36,""6C1DEBA09949"","""",2142928,9388"
2025-04-16T22:33:03.446391,"+UUDF:6C1DEBA3FFAC,-83,-18,-14,0,17,""6C1DEBA09949"","""",2142978,9389"
2025-04-16T22:33:03.494605,"+UUDF:6C1DEBA3FFAC,-64,-24,-11,0,0,""6C1DEBA09949"","""",2143028,9390"
2025-04-16T22:33:03.550703,"+UUDF:6C1DEBA3FFAC,-83,-19,-15,0,17,""6C1DEBA09949"","""",2143078,9391"
2025-04-16T22:33:03.597027,"+UUDF:6C1DEBA3FFAC,-66,-11,2,0,19,""6C1DEBA09949"","""",2143128,9392"
2025-04-16T22:33:03.645749,"+UUDF:6C1DEBA3FFAC,-64,-24,0,0,6,""6C1DEBA09949"","""",2143178,9393"
2025-04-16T22:33:03.700673,"+UUDF:6C1DEBA3FFAC,-56,-22,-13,0,32,""6C1DEBA09949"","""",2143228,9394"
2025-04-16T22:33:03.747404,"+UUDF:6C1DEBA3FFAC,-57,-32,-12,0,27,""6C1DEBA09949"","""",2143278,9395"
2025-04-16T22:33:03.795860,"+UUDF:6C1DEBA3FFAC,-59,-29,-17,0,26,""6C1DEBA09949"","""",2143328,9396"
2025-04-16T22:33:03.850595,"+UUDF:6C1DEBA3FFAC,-66,-11,2,0,19,""6C1DEBA09949"","""",2143378,9397"
2025-04-16T22:33:03.897011,"+UUDF:6C1DEBA3FFAC,-65,-16,-3,0,1,""6C1DEBA09949"","""",2143428,9398"
2025-04-16T22:33:03.945764,"+UUDF:6C1DEBA3FFAC,-64,-13,6,0,21,""6C1DEBA09949"","""",2143478,9399"
2025-04-16T22:33:04.000553,"+UUDF:6C1DEBA3FFAC,-62,-12,1,0,3,""6C1DEBA09949"","""",2143528,9400"
2025-04-16T22:33:04.047045,"+UUDF:6C1DEBA3FFAC,-62,-16,0,0,5,""6C1DEBA09949"","""",2143578,9401"
2025-04-16T22:33:04.103720,"+UUDF:6C1DEBA3FFAC,-71,-18,-14,0,14,""6C1DEBA09949"","""",2143628,9402"
2025-04-16T22:33:04.150663,"+UUDF:6C1DEBA3FFAC,-58,-29,-12,0,31,""6C1DEBA09949"","""",2143678,9403"
2025-04-16T22:33:04.197103,"+UUDF:6C1DEBA3FFAC,-56,-22,-13,0,32,""6C1DEBA09949"","""",2143728,9404"
2025-04-16T22:33:04.245826,"+UUDF:6C1DEBA3FFAC,-58,-28,-13,0,31,""6C1DEBA09949"","""",2143778,9405"
2025-04-16T22:33:04.300622,"+UUDF:6C1DEBA3FFAC,-60,-32,-6,0,30,""6C1DEBA09949"","""",2143828,9406"
2025-04-16T22:33:04.347087,"+UUDF:6C1DEBA3FFAC,-64,-31,10,0,24,""6C1DEBA09949"","""",2143878,9407"
2025-04-16T22:33:04.395836,"+UUDF:6C1DEBA3FFAC,-59,-29,-17,0,26,""6C1DEBA09949"","""",2143928,9408"
2025-04-16T22:33:04.451865,"+UUDF:6C1DEBA3FFAC,-75,-15,-6,0,18,""6C1DEBA09949"","""",2143978,9409"
2025-04-16T22:33:04.497899,"+UUDF:6C1DEBA3FFAC,-64,-23,-9,0,0,""6C1DEBA09949"","""",2144028,9410"
2025-04-16T22:33:04.546686,"+UUDF:6C1DEBA3FFAC,-64,-17,3,0,22,""6C1DEBA09949"","""",2144078,9411"
2025-04-16T22:33:04.601737,"+UUDF:6C1DEBA3FFAC,-63,-16,0,0,5,""6C1DEBA09949"","""",2144128,9412"
2025-04-16T22:33:04.647859,"+UUDF:6C1DEBA3FFAC,-55,-20,-13,0,33,""6C1DEBA09949"","""",2144178,9413"
2025-04-16T22:33:04.696581,"+UUDF:6C1DEBA3FFAC,-58,-10,-18,0,35,""6C1DEBA09949"","""",2144228,9414"
2025-04-16T22:33:04.751641,"+UUDF:6C1DEBA3FFAC,-67,-24,4,0,8,""6C1DEBA09949"","""",2144278,9415"
2025-04-16T22:33:04.797784,"+UUDF:6C1DEBA3FFAC,-64,-13,7,0,21,""6C1DEBA09949"","""",2144328,9416"
2025-04-16T22:33:04.847580,"+UUDF:6C1DEBA3FFAC,-62,-22,1,0,23,""6C1DEBA09949"","""",2144378,9417"
2025-04-16T22:33:04.903520,"+UUDF:6C1DEBA3FFAC,-56,-19,-22,0,34,""6C1DEBA09949"","""",2144428,9418"
2025-04-16T22:33:04.948201,"+UUDF:6C1DEBA3FFAC,-65,-17,-2,0,1,""6C1DEBA09949"","""",2144478,9419"
