Time_Bucket,X_Real,Y_Real,1_Timestamp,1_RSSI,1_Azimuth,1_Elevation,1_Channel,1_Sequence,1_Azimuth_Var,1_Azimuth_Real,2_Timestamp,2_RSSI,2_Azimuth,2_Elevation,2_Channel,2_Sequence,2_Azimuth_Var,2_Azimuth_Real,3_Timestamp,3_RSSI,3_Azimuth,3_Elevation,3_Channel,3_Sequence,3_Azimuth_Var,3_Azimuth_Real,4_Timestamp,4_RSSI,4_Azimuth,4_Elevation,4_Channel,4_Sequence,4_Azimuth_Var,4_Azimuth_Real
20,90.0,332.51312485733854,220,-58.0,16.4,5.4,7.8,21744.0,14.300000000000002,28.167630638645324,220,-65.0,29.0,0.0,10.666666666666666,21745.0,169.0,16.317049228463176,220,-66.0,-14.5,-6.75,13.5,21742.5,1943.0,-13.218913701793914,220,-62.25,-37.0,1.0,13.5,21742.5,85.99999999999999,-29.943624499422857
21,90.0,324.2958228714905,221,-64.0,19.333333333333332,10.666666666666666,14.0,21748.0,72.33333333333333,28.59545214990161,221,-62.2,19.4,-4.6,15.4,21749.0,301.8,15.320183206648728,221,-62.0,3.0,-5.5,13.75,21746.5,694.6666666666666,-14.013169794626606,221,-67.25,-40.0,-18.25,13.75,21746.5,50.66666666666668,-29.489368028280087
22,90.0,311.9698698927185,222,-59.0,21.2,4.4,15.8,21752.0,91.69999999999999,29.19890840644606,222,-67.66666666666667,47.0,-8.0,14.666666666666666,21753.0,1099.0,14.666373869906069,222,-66.0,1.0,-1.0,15.0,21750.5,124.66666666666667,-14.82087331456262,222,-63.4,-39.6,4.4,12.0,21751.0,39.3,-28.907710040783144
23,90.0,301.18466103629305,223,-62.75,25.0,2.75,11.25,21756.5,8.666666666666666,29.692493899442336,223,-65.8,19.0,-5.0,10.0,21757.0,225.00000000000003,13.70181186516825,223,-63.5,-8.5,-7.5,12.75,21754.5,721.0,-15.642039482479143,223,-56.666666666666664,-31.0,6.333333333333333,17.0,21755.0,39.0,-28.49577055409023
24,90.0,293.4809404245606,224,-55.0,33.0,-5.0,10.333333333333334,21760.0,7.0,30.027010365020733,224,-63.25,20.25,-2.25,8.5,21761.5,27.58333333333334,12.87369273955225,224,-64.75,-49.0,-1.5,8.5,21758.5,712.0,-16.476661912515688,224,-66.25,-37.75,-3.5,8.5,21758.5,123.58333333333333,-27.95111566279233
25,90.0,283.2093129422506,225,-60.0,25.0,2.6666666666666665,3.6666666666666665,21763.333333333332,63.0,30.4514110169694,225,-65.66666666666667,33.666666666666664,-0.3333333333333333,4.0,21766.0,96.33333333333331,12.034756600526627,225,-65.66666666666667,-11.666666666666666,-3.3333333333333335,6.666666666666667,21762.0,917.3333333333333,-17.324711170478462,225,-69.33333333333333,-38.333333333333336,-10.666666666666666,6.666666666666667,21762.0,158.33333333333337,-27.370463616437984
26,90.0,270.8833599634787,226,-63.2,23.6,1.8,9.8,21768.0,84.79999999999998,30.930599702196158,226,-66.33333333333333,27.0,11.666666666666666,13.333333333333334,21769.0,201.0,11.52626562493117,226,-67.5,-24.25,-1.25,11.75,21766.5,28.91666666666667,-18.186133342172614,226,-67.8,-35.8,14.4,9.8,21767.0,227.2,-26.62112249714785
27,90.0,262.66605797763066,227,-58.666666666666664,28.333333333333332,-7.0,27.0,21772.0,704.3333333333334,31.233230775746232,227,-66.2,20.8,1.4,20.4,21773.0,107.7,10.625828826100777,227,-64.25,-6.75,0.5,13.25,21770.5,145.58333333333334,-19.060848625136728,227,-63.333333333333336,-26.333333333333332,11.333333333333334,17.0,21771.0,6.333333333333336,-26.086469142411307
28,90.0,252.3944304953207,228,-58.0,31.25,1.25,13.75,21775.5,158.25,31.594017779897097,228,-67.25,29.0,14.75,17.5,21777.5,444.6666666666667,9.853498458751389,228,-67.5,-17.0,-2.5,16.0,21774.5,108.66666666666667,-19.94874995855511,228,-61.75,-37.75,-24.25,16.0,21774.5,60.916666666666664,-25.374541795949703
29,90.0,240.06847751654868,229,-59.0,20.6,0.4,23.6,21780.0,1475.8,32.00317864243089,229,-70.66666666666667,17.666666666666668,3.0,27.333333333333332,21781.0,86.33333333333334,9.310648971132448,229,-67.75,-9.0,-2.75,22.5,21778.5,4028.6666666666665,-20.84970170734787,229,-63.75,-19.5,9.0,22.5,21778.5,913.6666666666666,-24.609285479670362
30,90.0,231.85117553070074,230,-57.0,36.666666666666664,6.0,31.333333333333332,21784.0,336.3333333333333,32.26257878876855,230,-63.2,20.8,1.2,26.6,21785.0,209.20000000000002,8.457229060946087,230,-58.25,-25.5,8.5,30.25,21782.5,83.00000000000001,-21.76353841755372,230,-61.5,-38.0,-7.0,30.25,21782.5,676.6666666666666,-23.78478132735874
